scientific_name,common_name,order,family,iucn_status,rare_accidental,wpa_schedule,soib_priority,wh_endemic,n_recordings
Milvus milvus,Red Kite,Accipitriformes,Accipitridae,,no,,,no,0
Mirafra javanica,Singing Bushlark,Passeriformes,Alaudidae,,no,Schedule-II,Moderate,no,0
Monticola rufiventris,Chestnut-bellied Rock-Thrush,Passeriformes,Muscicapidae,,no,Schedule-II,Moderate,no,0
Monticola saxatilis,Rufous-tailed Rock-Thrush,Passeriformes,Muscicapidae,,no,Schedule-II,,no,0
Motacilla flava,Western Yellow Wagtail,Passeriformes,Motacillidae,,no,Schedule-II,Moderate,no,0
Motacilla maderaspatensis,White-browed Wagtail,Passeriformes,Motacillidae,,no,Schedule-II,Low,no,0
Motacilla tschutschensis,Eastern Yellow Wagtail,Passeriformes,Motacillidae,,yes,,,no,0
Muscicapa dauurica,Asian Brown Flycatcher,Passeriformes,Muscicapidae,,no,Schedule-II,Low,no,0
Muscicapa ferruginea,Ferruginous Flycatcher,Passeriformes,Muscicapidae,,no,,,no,0
Muscicapa striata,Spotted Flycatcher,Passeriformes,Muscicapidae,,no,Schedule-II,,no,0
Mycerobas affinis,Collared Grosbeak,Passeriformes,Fringillidae,,no,Schedule-II,Moderate,no,0
Mycerobas carnipes,White-winged Grosbeak,Passeriformes,Fringillidae,,no,Schedule-II,,no,0
Mycteria leucocephala,Painted Stork,Ciconiiformes,Ciconiidae,,no,Schedule-II,Low,no,0
Neophron percnopterus,Egyptian Vulture,Accipitriformes,Accipitridae,Endangered,no,Schedule-I,High,no,0
Netta rufina,Red-crested Pochard,Anseriformes,Anatidae,,no,Schedule-II,Low,no,0
Nettapus coromandelianus,Cotton Pygmy-Goose,Anseriformes,Anatidae,,no,Schedule-I,Moderate,no,0
Niltava sundara,Rufous-bellied Niltava,Passeriformes,Muscicapidae,,no,Schedule-II,Low,no,0
Nisaetus cirrhatus,Changeable Hawk-Eagle,Accipitriformes,Accipitridae,,no,,,no,0
Nisaetus nipalensis,Mountain Hawk-Eagle,Accipitriformes,Accipitridae,,no,Schedule-I,Low,no,0
Nucifraga hemispila,Southern Nutcracker,Passeriformes,Corvidae,,no,,,no,0
Numenius arquata,Eurasian Curlew,Charadriiformes,Scolopacidae,Near-threatened,no,Schedule-II,High,no,0
Numenius phaeopus,Eurasian Whimbrel,Charadriiformes,Scolopacidae,,no,Schedule-II,Moderate,no,0
Nycticorax nycticorax,Black-crowned Night Heron,Pelecaniformes,Ardeidae,,no,Schedule-II,Low,no,0
Ocyceros birostris,Indian Gray Hornbill,Bucerotiformes,Bucerotidae,,no,Schedule-II,Low,no,0
Oenanthe albonigra,Hume's Wheatear,Passeriformes,Muscicapidae,,no,,,no,0
Oenanthe chrysopygia,Persian Wheatear,Passeriformes,Muscicapidae,,no,Schedule-II,,no,0
Oenanthe fusca,Brown Rock Chat,Passeriformes,Muscicapidae,,no,Schedule-II,Low,no,0
Oenanthe isabellina,Isabelline Wheatear,Passeriformes,Muscicapidae,,no,Schedule-II,High,no,0
Oenanthe oenanthe,Northern Wheatear,Passeriformes,Muscicapidae,,no,Schedule-II,,no,0
Oenanthe picata,Variable Wheatear,Passeriformes,Muscicapidae,,no,Schedule-II,High,no,0
Oenanthe pleschanka,Pied Wheatear,Passeriformes,Muscicapidae,,no,Schedule-II,,no,0
Onychostruthus taczanowskii,White-rumped Snowfinch,Passeriformes,Passeridae,,no,,,no,0
Oriolus oriolus,Eurasian Golden Oriole,Passeriformes,Oriolidae,,no,,,no,0
Oriolus xanthornus,Black-hooded Oriole,Passeriformes,Oriolidae,,no,,,no,0
Orthotomus sutorius,Common Tailorbird,Passeriformes,Cisticolidae,,no,Schedule-II,Low,no,0
Ortygornis pondicerianus,Gray Francolin,Galliformes,Phasianidae,,no,Schedule-II,Low,no,0
Otus bakkamoena,Indian Scops-Owl,Strigiformes,Strigidae,,no,Schedule-II,,no,0
Otus brucei,Pallid Scops-Owl,Strigiformes,Strigidae,,no,,,no,0
