scientific_name,common_name,order,family,iucn_status,rare_accidental,wpa_schedule,soib_priority,wh_endemic
Dicrurus hottentottus,Hair-crested Drongo,Passeriformes,Dicruridae,,no,Schedule-II,Moderate,no
Dicrurus macrocercus,Black Drongo,Passeriformes,Dicruridae,,no,Schedule-II,Low,no
Dinopium benghalense,Black-rumped Flameback,Piciformes,Picidae,,no,Schedule-II,Low,no
Dromas ardeola,Crab-Plover,Charadriiformes,Dromadidae,,no,,,no
Dryobates cathpharius,Crimson-naped Woodpecker,Piciformes,Picidae,,no,,,no
Egretta garzetta,Little Egret,Pelecaniformes,Ardeidae,,no,Schedule-II,Low,no
Egretta gularis,Western Reef-Heron,Pelecaniformes,Ardeidae,,no,Schedule-II,High,no
Elanus caeruleus,Black-winged Kite,Accipitriformes,Accipitridae,,no,Schedule-II,Moderate,no
Emberiza aureola,Yellow-breasted Bunting,Passeriformes,Emberizidae,Critically endangered,no,Schedule-I,High,no
Emberiza bruniceps,Red-headed Bunting,Passeriformes,Emberizidae,,no,Schedule-II,Low,no
Emberiza buchanani,Gray-necked Bunting,Passeriformes,Emberizidae,,no,Schedule-II,Moderate,no
Emberiza cioides,Meadow Bunting,Passeriformes,Emberizidae,,yes,,,no
Emberiza citrinella,Yellowhammer,Passeriformes,Emberizidae,,no,Schedule-II,,no
Emberiza godlewskii,Godlewski's Bunting,Passeriformes,Emberizidae,,no,,,no
Emberiza hortulana,Ortolan Bunting,Passeriformes,Emberizidae,,no,Schedule-II,,no
Emberiza lathami,Crested Bunting,Passeriformes,Emberizidae,,no,Schedule-II,Moderate,no
Emberiza leucocephalos,Pine Bunting,Passeriformes,Emberizidae,,no,Schedule-II,,no
Emberiza melanocephala,Black-headed Bunting,Passeriformes,Emberizidae,,no,Schedule-II,Low,no
Emberiza pusilla,Little Bunting,Passeriformes,Emberizidae,,no,Schedule-II,Low,no
Emberiza rustica,Rustic Bunting,Passeriformes,Emberizidae,Near-threatened,yes,Schedule-II,,no
Emberiza rutila,Chestnut Bunting,Passeriformes,Emberizidae,,no,,,no
Emberiza schoeniclus,Reed Bunting,Passeriformes,Emberizidae,,no,Schedule-II,,no
Emberiza spodocephala,Black-faced Bunting,Passeriformes,Emberizidae,,no,,,no
Emberiza striolata,Striolated Bunting,Passeriformes,Emberizidae,,no,Schedule-II,Low,no
Enicurus scouleri,Little Forktail,Passeriformes,Muscicapidae,,no,Schedule-II,Moderate,no
Eophona migratoria,Yellow-billed Grosbeak,Passeriformes,Fringillidae,,yes,,,no
Ephippiorhynchus asiaticus,Black-necked Stork,Ciconiiformes,Ciconiidae,,no,Schedule-II,Moderate,no
Eremophila alpestris,Horned Lark,Passeriformes,Alaudidae,,no,Schedule-II,Low,no
Eremopterix griseus,Ashy-crowned Sparrow-Lark,Passeriformes,Alaudidae,,no,Schedule-II,Moderate,no
Eremopterix nigriceps,Black-crowned Sparrow-Lark,Passeriformes,Alaudidae,,no,,,no
Erythrogenys erythrogenys,Rusty-cheeked Scimitar-Babbler,Passeriformes,Timaliidae,,no,Schedule-II,Low,no
Esacus recurvirostris,Great Thick-knee,Charadriiformes,Burhinidae,Near-threatened,no,Schedule-II,High,no
Eudynamys scolopaceus,Asian Koel,Cuculiformes,Cuculidae,,no,Schedule-II,Low,no
Eumyias thalassinus,Verditer Flycatcher,Passeriformes,Muscicapidae,,no,Schedule-II,Low,no
Euodice malabarica,Indian Silverbill,Passeriformes,Estrildidae,,no,Schedule-II,Low,no
Eurystomus orientalis,Dollarbird,Coraciiformes,Coraciidae,,no,,,no
Falco amurensis,Amur Falcon,Falconiformes,Falconidae,,no,Schedule-I,Moderate,no
Falco cherrug,Saker Falcon,Falconiformes,Falconidae,Endangered,no,Schedule-I,High,no
Falco chicquera,Red-necked Falcon,Falconiformes,Falconidae,,no,Schedule-I,Moderate,no
Falco columbarius,Merlin,Falconiformes,Falconidae,,no,Schedule-II,,no
Falco jugger,Laggar Falcon,Falconiformes,Falconidae,Near-threatened,no,,,no
Falco naumanni,Lesser Kestrel,Falconiformes,Falconidae,,no,Schedule-II,,no
